CONSIGNEE_NAME,SHIPPER_NAME,TARIFF_CODE,GROSS_WEIGHT_KG,ITEM_VALUE_USD,PORT_OF_LOADING,ARRIVAL_DATE
NIKE USA ,BYD Auto,6404.11,6428.95,30364.97,Rotterdam,2025-08-05
APPLE OPERATIONS INTL ,Pou Chen Corp,8542.31,31072.76,1768259.23,Shenzhen,2025-08-27
YETI CUSTOM DOMESTIC ,Vietnam Manuf Group,8517.12,27333.61,1463482.33,Shenzhen,2026-02-28
Apple Inc. ,LG Chem,8517.12,7077.65,1724226.89,Ho Chi Minh,2026-01-27
Samsung Electronics CORP,Vietnam Manuf Group,8517.12,26170.42,93592.81,Shenzhen,2026-03-10
Nike Inc. INC,Pou Chen Corp,3923.10,8512.84,432172.5,Ho Chi Minh,2025-04-05
APPLE OPERATIONS INTL LTD,Foxconn Technology,8703.80,49481.06,274058.92,Shanghai,2026-01-21
YETI CUSTOM DOMESTIC CORP,Foxconn Technology,8703.80,8533.68,1200626.43,Rotterdam,2025-10-27
NIKE USA CORP,Pou Chen Corp,3923.10,12651.91,854731.85,Ho Chi Minh,2025-12-16
YETI CUSTOM DOMESTIC ,Vietnam Manuf Group,8517.12,35169.6,1217752.52,Ho Chi Minh,2025-10-23
Samsung Electronics INC,Foxconn Technology,6404.11,7016.48,382530.35,Shenzhen,2025-05-22
Yeti Coolers LLC CORP,Pou Chen Corp,8517.12,21633.01,284446.09,Rotterdam,2025-12-27
Tesla Motors LTD,Pou Chen Corp,8703.80,34698.76,649315.05,Ho Chi Minh,2025-12-27
Nike Inc. INC,Vietnam Manuf Group,6404.11,10434.11,1341539.14,Ho Chi Minh,2025-11-16
NIKE USA CORP,LG Chem,3923.10,45305.63,653608.7,Shenzhen,2025-12-07
Nike Inc. ,Foxconn Technology,3923.10,7979.97,429191.04,Shanghai,2026-01-25
Yeti Coolers LLC CORP,BYD Auto,8542.31,15308.63,406809.77,Shenzhen,2025-10-11
Apple Inc. INC,BYD Auto,3923.10,31149.65,1219257.01,Long Beach,2026-03-05
Tesla Motors INC,TSMC,3923.10,21285.81,352400.83,Shanghai,2025-07-07
Nike Inc. CORP,LG Chem,8703.80,31366.31,1803121.86,Shenzhen,2025-10-11
Samsung Electronics ,Vietnam Manuf Group,8703.80,4614.71,330183.46,Ho Chi Minh,2025-12-08
Samsung Electronics LTD,TSMC,3923.10,5782.67,694530.96,Ho Chi Minh,2025-06-16
NIKE USA CORP,Foxconn Technology,3923.10,45874.98,21388.79,Long Beach,2025-09-04
Samsung Electronics ,TSMC,8542.31,41739.99,1639949.52,Long Beach,2025-12-10
NIKE USA INC,Pou Chen Corp,8703.80,44536.94,1664125.49,Rotterdam,2025-09-26
Yeti Coolers LLC ,Shenzhen Plastics Co,8542.31,16826.53,1013474.61,Shenzhen,2025-04-06
NIKE USA LTD,Foxconn Technology,8542.31,44899.32,1883736.27,Shanghai,2025-12-23
APPLE OPERATIONS INTL ,Vietnam Manuf Group,8542.31,30026.94,1935223.19,Shenzhen,2025-08-30
Samsung Electronics ,Pou Chen Corp,3923.10,11094.92,1632434.65,Ho Chi Minh,2025-09-28
APPLE OPERATIONS INTL INC,Pou Chen Corp,6404.11,17799.95,1519802.05,Los Angeles,2025-09-15
APPLE OPERATIONS INTL CORP,LG Chem,3923.10,2526.46,1912949.13,Ho Chi Minh,2025-07-10
APPLE OPERATIONS INTL LTD,LG Chem,6404.11,41235.26,625600.34,Rotterdam,2025-11-07
YETI CUSTOM DOMESTIC INC,TSMC,3923.10,41882.99,391433.25,Long Beach,2025-07-03
Tesla Motors INC,Pou Chen Corp,8542.31,25696.47,1928229.61,Los Angeles,2026-01-07
Tesla Motors ,Foxconn Technology,8517.12,10226.01,572348.89,Ho Chi Minh,2025-06-22
Yeti Coolers LLC CORP,Pou Chen Corp,3923.10,38254.37,1101610.82,Long Beach,2026-01-10
Tesla Motors LTD,Foxconn Technology,8517.12,30097.7,840931.02,Shanghai,2025-08-15
Samsung Electronics LTD,Shenzhen Plastics Co,8517.12,13799.5,1836080.83,Shenzhen,2025-04-11
Tesla Motors ,Foxconn Technology,8542.31,8499.1,318374.19,Rotterdam,2025-09-19
Samsung Electronics CORP,TSMC,3923.10,38708.63,816883.88,Ho Chi Minh,2025-09-08
Tesla Motors ,Pou Chen Corp,8703.80,26017.54,662439.92,Los Angeles,2025-08-09
NIKE USA INC,LG Chem,8703.80,26493.38,652139.13,Long Beach,2025-09-17
YETI CUSTOM DOMESTIC LTD,TSMC,8703.80,36452.72,896860.71,Shanghai,2025-08-12
Tesla Motors INC,Vietnam Manuf Group,8542.31,3932.98,476817.36,Long Beach,2025-11-19
Samsung Electronics CORP,Foxconn Technology,8703.80,35534.97,202426.73,Shenzhen,2025-09-12
NIKE USA CORP,Vietnam Manuf Group,8703.80,25061.49,1734412.88,Rotterdam,2025-12-31
APPLE OPERATIONS INTL LTD,Pou Chen Corp,8542.31,6632.96,1654930.91,Long Beach,2025-11-28
Samsung Electronics ,BYD Auto,8703.80,7795.97,627228.96,Shenzhen,2026-03-15
APPLE OPERATIONS INTL LTD,Foxconn Technology,6404.11,32360.43,1051047.48,Los Angeles,2026-02-27
Apple Inc. LTD,Pou Chen Corp,8703.80,37728.23,273182.97,Long Beach,2025-12-05
YETI CUSTOM DOMESTIC INC,BYD Auto,8542.31,13560.66,1399436.51,Ho Chi Minh,2025-11-28
APPLE OPERATIONS INTL CORP,TSMC,3923.10,21291.36,1963701.47,Ho Chi Minh,2025-05-16
YETI CUSTOM DOMESTIC LTD,BYD Auto,6404.11,18504.68,157503.75,Long Beach,2025-10-09
Nike Inc. ,LG Chem,6404.11,9095.7,1766299.46,Rotterdam,2025-03-28
Yeti Coolers LLC CORP,Pou Chen Corp,6404.11,28998.55,543982.03,Long Beach,2025-11-28
APPLE OPERATIONS INTL ,Foxconn Technology,8703.80,31097.23,1996505.24,Ho Chi Minh,2025-10-24
Yeti Coolers LLC CORP,Pou Chen Corp,6404.11,24826.35,741008.94,Los Angeles,2025-09-14
NIKE USA LTD,TSMC,8542.31,44146.77,53801.29,Ho Chi Minh,2025-06-24
YETI CUSTOM DOMESTIC LTD,Shenzhen Plastics Co,6404.11,23933.71,1393359.41,Long Beach,2026-01-19
Yeti Coolers LLC ,LG Chem,3923.10,14781.06,928034.75,Los Angeles,2026-03-02
APPLE OPERATIONS INTL CORP,Pou Chen Corp,6404.11,16788.08,1620806.52,Los Angeles,2025-12-10
Samsung Electronics CORP,Vietnam Manuf Group,6404.11,16669.04,1204077.76,Long Beach,2025-11-22
Tesla Motors ,Shenzhen Plastics Co,3923.10,43220.55,207317.31,Los Angeles,2026-01-29
Samsung Electronics INC,Foxconn Technology,8703.80,16391.8,255695.6,Ho Chi Minh,2025-04-22
NIKE USA CORP,TSMC,8517.12,49953.2,1455842.66,Ho Chi Minh,2025-04-05
NIKE USA ,Foxconn Technology,8517.12,8784.48,592578.65,Los Angeles,2025-07-19
APPLE OPERATIONS INTL CORP,BYD Auto,8703.80,7691.95,91438.92,Los Angeles,2025-08-13
APPLE OPERATIONS INTL LTD,TSMC,8517.12,25420.42,77510.14,Shenzhen,2026-01-02
YETI CUSTOM DOMESTIC LTD,Pou Chen Corp,3923.10,23887.92,311212.98,Long Beach,2025-07-03
Apple Inc. LTD,Shenzhen Plastics Co,8517.12,30658.5,1699416.68,Ho Chi Minh,2025-10-17
NIKE USA CORP,Vietnam Manuf Group,3923.10,15824.02,365406.98,Rotterdam,2025-05-04
Nike Inc. INC,Shenzhen Plastics Co,8703.80,21156.75,311097.74,Los Angeles,2025-04-04
APPLE OPERATIONS INTL ,TSMC,8517.12,36402.61,724427.77,Shanghai,2025-12-21
Yeti Coolers LLC CORP,Foxconn Technology,8517.12,15775.66,35669.74,Shanghai,2026-02-04
Samsung Electronics INC,Vietnam Manuf Group,8542.31,38078.48,167127.62,Rotterdam,2025-06-12
NIKE USA CORP,Pou Chen Corp,8542.31,10346.64,260751.87,Shenzhen,2025-06-21
YETI CUSTOM DOMESTIC LTD,Shenzhen Plastics Co,3923.10,26471.72,1366001.3,Shanghai,2025-03-21
APPLE OPERATIONS INTL ,LG Chem,8517.12,17438.7,335419.91,Ho Chi Minh,2025-03-20
APPLE OPERATIONS INTL ,Shenzhen Plastics Co,6404.11,22131.86,1138294.19,Ho Chi Minh,2026-02-20
NIKE USA INC,Foxconn Technology,8703.80,20388.7,1699537.94,Shanghai,2025-05-02
Yeti Coolers LLC CORP,Pou Chen Corp,6404.11,2729.55,725906.4,Los Angeles,2025-03-26
NIKE USA ,Foxconn Technology,8542.31,21554.19,1563019.19,Ho Chi Minh,2025-05-11
Yeti Coolers LLC ,BYD Auto,8703.80,7094.64,1172693.86,Long Beach,2025-07-25
NIKE USA INC,Pou Chen Corp,3923.10,24065.01,211417.03,Rotterdam,2025-11-02
Samsung Electronics ,LG Chem,8703.80,37693.23,1418121.01,Long Beach,2025-12-16
Yeti Coolers LLC LTD,Vietnam Manuf Group,3923.10,40719.68,1676377.03,Shanghai,2025-09-16
Apple Inc. CORP,Vietnam Manuf Group,8542.31,49091.94,33311.5,Los Angeles,2025-10-28
Tesla Motors CORP,Foxconn Technology,6404.11,47140.8,1015416.21,Shenzhen,2026-02-04
Yeti Coolers LLC CORP,BYD Auto,8542.31,11649.47,322663.21,Rotterdam,2026-01-09
Nike Inc. ,LG Chem,8542.31,2257.62,1750494.36,Los Angeles,2025-08-06
APPLE OPERATIONS INTL INC,Pou Chen Corp,6404.11,14448.7,352447.54,Rotterdam,2025-12-16
Apple Inc. INC,Vietnam Manuf Group,8703.80,26070.53,283713.4,Ho Chi Minh,2025-04-30
Nike Inc. LTD,Shenzhen Plastics Co,6404.11,16380.48,68493.04,Shanghai,2025-10-08
Samsung Electronics LTD,TSMC,8703.80,37248.32,574042.48,Shenzhen,2025-10-07
APPLE OPERATIONS INTL LTD,Foxconn Technology,8703.80,20866.43,1551158.26,Ho Chi Minh,2025-06-11
Apple Inc. CORP,Pou Chen Corp,8703.80,32049.06,1677996.31,Ho Chi Minh,2025-09-14
Tesla Motors CORP,TSMC,8703.80,3367.42,1472570.76,Shenzhen,2025-10-07
Samsung Electronics ,BYD Auto,6404.11,7634.88,1285698.08,Ho Chi Minh,2025-09-14
Samsung Electronics INC,BYD Auto,8703.80,32415.78,974908.27,Shanghai,2025-09-26
NIKE USA ,Pou Chen Corp,8703.80,5090.79,1894004.19,Shanghai,2025-09-10
NIKE USA ,TSMC,8517.12,23189.67,275285.51,Ho Chi Minh,2025-03-16
Yeti Coolers LLC LTD,Shenzhen Plastics Co,8517.12,49600.06,894583.9,Rotterdam,2025-06-22
NIKE USA LTD,TSMC,6404.11,49467.44,17156.67,Shenzhen,2025-11-15
NIKE USA INC,TSMC,3923.10,38031.91,191005.33,Rotterdam,2025-09-12
APPLE OPERATIONS INTL CORP,Vietnam Manuf Group,3923.10,17809.37,771546.07,Ho Chi Minh,2026-02-14
Nike Inc. ,BYD Auto,8517.12,47199.88,736340.77,Ho Chi Minh,2025-09-15
Apple Inc. ,LG Chem,3923.10,6196.37,178078.48,Shanghai,2025-08-30
Yeti Coolers LLC INC,BYD Auto,8517.12,13690.03,1961047.26,Rotterdam,2025-12-16
APPLE OPERATIONS INTL ,LG Chem,8703.80,23844.49,1458743.99,Los Angeles,2025-07-02
Nike Inc. ,BYD Auto,8542.31,43874.55,336375.78,Rotterdam,2026-03-11
NIKE USA CORP,Shenzhen Plastics Co,8703.80,45361.95,813198.87,Ho Chi Minh,2025-08-23
Tesla Motors INC,Shenzhen Plastics Co,3923.10,42285.7,1658868.31,Shenzhen,2025-06-20
Nike Inc. CORP,Pou Chen Corp,8517.12,42666.39,61163.73,Ho Chi Minh,2025-06-14
Apple Inc. LTD,BYD Auto,8703.80,16459.35,973590.78,Ho Chi Minh,2025-08-11
YETI CUSTOM DOMESTIC INC,Pou Chen Corp,6404.11,44413.87,1487239.06,Long Beach,2025-05-24
Samsung Electronics CORP,BYD Auto,3923.10,18242.33,562025.09,Long Beach,2025-07-10
Tesla Motors INC,Vietnam Manuf Group,8542.31,14518.12,1940067.46,Shenzhen,2025-06-29
NIKE USA ,Vietnam Manuf Group,6404.11,9822.9,1461772.15,Long Beach,2025-04-20
Tesla Motors ,BYD Auto,8703.80,19146.04,1213301.61,Shenzhen,2025-06-23
APPLE OPERATIONS INTL CORP,LG Chem,8517.12,15579.97,1352805.39,Shenzhen,2025-06-07
YETI CUSTOM DOMESTIC ,Pou Chen Corp,3923.10,25475.84,1846324.07,Los Angeles,2025-07-04
Tesla Motors ,Pou Chen Corp,8703.80,22156.07,729392.59,Rotterdam,2026-02-25
NIKE USA INC,Vietnam Manuf Group,3923.10,32760.66,1734802.45,Shanghai,2025-12-04
Apple Inc. ,BYD Auto,8703.80,39718.55,426615.72,Ho Chi Minh,2025-12-01
Yeti Coolers LLC ,TSMC,6404.11,3736.5,949313.35,Ho Chi Minh,2025-06-14
APPLE OPERATIONS INTL INC,TSMC,8517.12,4692.95,1219298.44,Ho Chi Minh,2025-06-01
APPLE OPERATIONS INTL ,Foxconn Technology,3923.10,23306.33,599003.81,Ho Chi Minh,2025-03-31
Tesla Motors CORP,Pou Chen Corp,8517.12,6322.38,44013.26,Shanghai,2026-02-13
Yeti Coolers LLC LTD,Pou Chen Corp,8542.31,27328.01,1291687.37,Shanghai,2025-09-23
APPLE OPERATIONS INTL CORP,Vietnam Manuf Group,8703.80,24671.12,1597451.06,Long Beach,2025-05-05
Tesla Motors CORP,Shenzhen Plastics Co,3923.10,18443.46,1822957.44,Rotterdam,2025-11-12
Tesla Motors LTD,BYD Auto,8703.80,12144.72,248528.11,Shenzhen,2025-08-12
NIKE USA INC,Vietnam Manuf Group,6404.11,12944.7,247216.63,Shenzhen,2026-02-28
Apple Inc. LTD,Foxconn Technology,6404.11,4865.81,1451632.43,Shanghai,2025-10-30
Tesla Motors ,BYD Auto,8517.12,37600.83,128467.57,Los Angeles,2025-08-20
Apple Inc. LTD,Pou Chen Corp,8542.31,26738.9,795473.19,Long Beach,2025-07-31
APPLE OPERATIONS INTL LTD,Pou Chen Corp,6404.11,8891.76,946686.42,Shanghai,2025-06-01
NIKE USA LTD,TSMC,8703.80,5613.86,609180.1,Shanghai,2025-03-26
APPLE OPERATIONS INTL CORP,LG Chem,8703.80,30649.12,529947.65,Los Angeles,2025-12-04
Apple Inc. LTD,TSMC,8517.12,37952.1,226608.8,Los Angeles,2025-07-13
Apple Inc. LTD,Foxconn Technology,8517.12,37470.47,344825.11,Shenzhen,2025-09-23
NIKE USA CORP,Vietnam Manuf Group,3923.10,4891.95,753176.18,Shanghai,2026-01-14
Apple Inc. INC,Pou Chen Corp,8703.80,31125.0,332275.41,Long Beach,2025-09-09
Yeti Coolers LLC LTD,LG Chem,8542.31,4513.66,1600630.21,Shanghai,2025-08-30
Tesla Motors LTD,Shenzhen Plastics Co,6404.11,10205.78,319179.56,Shanghai,2025-04-09
YETI CUSTOM DOMESTIC INC,Shenzhen Plastics Co,8517.12,17125.08,829409.55,Los Angeles,2025-03-17
YETI CUSTOM DOMESTIC ,Pou Chen Corp,8517.12,8715.99,52755.58,Los Angeles,2025-06-11
Nike Inc. CORP,Shenzhen Plastics Co,8703.80,38679.9,640456.33,Ho Chi Minh,2025-05-23
Nike Inc. CORP,Vietnam Manuf Group,8542.31,29194.22,569197.88,Long Beach,2025-04-22
APPLE OPERATIONS INTL LTD,BYD Auto,8542.31,31424.11,1125987.52,Shanghai,2025-08-08
NIKE USA LTD,Pou Chen Corp,8542.31,16682.6,1207606.92,Long Beach,2025-11-12
Samsung Electronics ,Foxconn Technology,3923.10,18860.59,478263.15,Los Angeles,2025-11-24
Nike Inc. LTD,Shenzhen Plastics Co,6404.11,1648.96,243734.92,Shenzhen,2025-12-02
NIKE USA INC,Shenzhen Plastics Co,3923.10,5375.03,328861.06,Los Angeles,2025-09-10
APPLE OPERATIONS INTL INC,TSMC,8517.12,27481.44,1867817.32,Los Angeles,2025-07-08
Nike Inc. CORP,Foxconn Technology,3923.10,30112.44,1921887.35,Los Angeles,2025-08-29
Apple Inc. INC,LG Chem,8542.31,27283.96,153173.89,Shenzhen,2025-10-05
APPLE OPERATIONS INTL CORP,TSMC,8517.12,35519.67,1206493.43,Ho Chi Minh,2025-08-09
APPLE OPERATIONS INTL LTD,BYD Auto,8517.12,49618.0,1424359.03,Ho Chi Minh,2026-02-06
Nike Inc. CORP,TSMC,8542.31,18521.39,1488455.2,Long Beach,2025-12-21
NIKE USA ,Vietnam Manuf Group,6404.11,34141.31,1975505.76,Long Beach,2025-06-23
Samsung Electronics INC,Shenzhen Plastics Co,8703.80,1142.08,922111.76,Long Beach,2025-05-29
NIKE USA ,Pou Chen Corp,3923.10,13197.56,1683333.22,Ho Chi Minh,2025-06-01
YETI CUSTOM DOMESTIC LTD,Vietnam Manuf Group,8703.80,15452.86,329204.27,Los Angeles,2025-07-14
NIKE USA LTD,BYD Auto,8517.12,33607.29,1344422.91,Shenzhen,2025-07-21
Samsung Electronics INC,Shenzhen Plastics Co,8517.12,39920.03,1802454.88,Long Beach,2025-08-21
APPLE OPERATIONS INTL INC,Shenzhen Plastics Co,8517.12,28034.47,472596.44,Shanghai,2025-11-12
NIKE USA ,LG Chem,8517.12,35585.71,91173.08,Long Beach,2026-01-09
APPLE OPERATIONS INTL LTD,Foxconn Technology,8703.80,33885.93,920968.32,Los Angeles,2025-05-05
YETI CUSTOM DOMESTIC CORP,Shenzhen Plastics Co,3923.10,34677.16,1460507.16,Shanghai,2025-06-10
Yeti Coolers LLC ,Shenzhen Plastics Co,3923.10,24145.02,1854543.19,Shenzhen,2026-03-08
APPLE OPERATIONS INTL INC,Vietnam Manuf Group,3923.10,26328.71,1370336.15,Long Beach,2025-11-28
Apple Inc. CORP,Foxconn Technology,8703.80,41623.0,1052715.12,Shanghai,2025-11-25
Samsung Electronics ,TSMC,8703.80,43503.27,797683.92,Los Angeles,2025-07-13
NIKE USA INC,BYD Auto,6404.11,19057.51,372261.87,Ho Chi Minh,2025-08-03
NIKE USA INC,BYD Auto,6404.11,10769.67,1219903.06,Los Angeles,2026-01-06
YETI CUSTOM DOMESTIC ,Shenzhen Plastics Co,3923.10,19948.14,1517087.92,Ho Chi Minh,2026-01-30
Yeti Coolers LLC CORP,Shenzhen Plastics Co,3923.10,26085.76,1534161.57,Long Beach,2026-01-15
Yeti Coolers LLC CORP,BYD Auto,8517.12,1653.13,1832492.55,Los Angeles,2025-04-12
YETI CUSTOM DOMESTIC ,Pou Chen Corp,6404.11,4617.86,1364589.28,Ho Chi Minh,2025-07-26
Tesla Motors ,TSMC,6404.11,42927.06,635478.39,Long Beach,2025-06-30
Yeti Coolers LLC ,LG Chem,3923.10,26269.74,988151.17,Long Beach,2025-03-21
APPLE OPERATIONS INTL LTD,LG Chem,6404.11,8262.21,1432256.66,Shenzhen,2025-04-19
Apple Inc. INC,Shenzhen Plastics Co,8517.12,22495.39,268838.51,Los Angeles,2026-01-29
Nike Inc. ,Shenzhen Plastics Co,8542.31,30113.15,58513.2,Los Angeles,2025-08-12
Yeti Coolers LLC INC,BYD Auto,8703.80,12868.64,425398.2,Los Angeles,2025-06-10
Samsung Electronics ,TSMC,8517.12,11457.6,1157680.64,Los Angeles,2026-01-20
APPLE OPERATIONS INTL CORP,Vietnam Manuf Group,8517.12,25088.77,1407315.56,Ho Chi Minh,2025-09-21
Samsung Electronics LTD,TSMC,3923.10,5704.2,367789.64,Los Angeles,2025-08-18
YETI CUSTOM DOMESTIC CORP,Foxconn Technology,8703.80,45864.48,1986251.51,Los Angeles,2026-02-28
Samsung Electronics LTD,Shenzhen Plastics Co,8517.12,41503.23,1315615.12,Rotterdam,2025-08-03
Apple Inc. LTD,TSMC,3923.10,40748.94,1267911.51,Ho Chi Minh,2025-09-28
YETI CUSTOM DOMESTIC ,Foxconn Technology,8517.12,36366.3,1893508.49,Los Angeles,2025-08-16
Samsung Electronics CORP,LG Chem,3923.10,22730.92,1971744.33,Shanghai,2025-10-23
Samsung Electronics INC,Pou Chen Corp,6404.11,22892.13,337582.72,Ho Chi Minh,2025-12-08
Yeti Coolers LLC INC,Foxconn Technology,8542.31,47755.55,284504.0,Long Beach,2025-10-01
Samsung Electronics LTD,Foxconn Technology,6404.11,34419.37,986941.77,Shanghai,2025-06-12
Samsung Electronics ,LG Chem,8517.12,13164.74,1044691.25,Los Angeles,2025-08-18
Nike Inc. LTD,Pou Chen Corp,8517.12,37952.69,978446.13,Shanghai,2025-03-23
Apple Inc. INC,TSMC,8517.12,42345.62,1849541.75,Rotterdam,2025-11-20
Samsung Electronics CORP,TSMC,8542.31,29062.05,325584.69,Rotterdam,2025-10-22
Nike Inc. LTD,Pou Chen Corp,3923.10,32529.74,1293730.98,Shenzhen,2025-04-05
Apple Inc. ,TSMC,3923.10,35824.58,813283.99,Shanghai,2025-04-06
YETI CUSTOM DOMESTIC CORP,BYD Auto,8517.12,27726.95,556659.13,Long Beach,2025-10-18
Nike Inc. CORP,BYD Auto,6404.11,38408.55,334350.25,Shanghai,2025-04-11
Nike Inc. LTD,LG Chem,6404.11,17908.0,1363458.46,Long Beach,2025-05-16
YETI CUSTOM DOMESTIC INC,Vietnam Manuf Group,3923.10,44131.68,1119339.85,Ho Chi Minh,2025-03-28
Samsung Electronics INC,Shenzhen Plastics Co,8517.12,42247.08,192285.91,Ho Chi Minh,2025-08-18
Nike Inc. ,Pou Chen Corp,8703.80,25183.77,1428269.52,Shenzhen,2025-09-12
APPLE OPERATIONS INTL LTD,TSMC,8703.80,12725.33,605209.54,Rotterdam,2025-04-21
Tesla Motors INC,Pou Chen Corp,8517.12,28384.16,1962996.55,Shanghai,2025-08-02
Apple Inc. LTD,Shenzhen Plastics Co,3923.10,21135.66,430839.57,Long Beach,2025-10-31
Apple Inc. CORP,Vietnam Manuf Group,8517.12,24619.53,504167.85,Los Angeles,2025-12-25
YETI CUSTOM DOMESTIC INC,Foxconn Technology,8703.80,14141.0,1873314.45,Long Beach,2026-01-30
NIKE USA ,BYD Auto,8542.31,28158.92,1988845.37,Shanghai,2026-02-24
Samsung Electronics INC,Shenzhen Plastics Co,8703.80,18904.03,531131.21,Shenzhen,2025-09-09
Tesla Motors ,BYD Auto,8703.80,14750.79,379817.82,Rotterdam,2025-07-16
Samsung Electronics ,Vietnam Manuf Group,8542.31,49825.59,12554.7,Rotterdam,2025-03-17
Apple Inc. LTD,Shenzhen Plastics Co,8703.80,11744.55,1356386.56,Shanghai,2025-06-07
Tesla Motors ,BYD Auto,8542.31,17348.63,1210344.36,Shanghai,2025-03-22
APPLE OPERATIONS INTL LTD,BYD Auto,8517.12,49616.81,1245399.57,Shanghai,2025-03-21
Tesla Motors CORP,BYD Auto,6404.11,49006.18,127379.63,Long Beach,2025-11-21
APPLE OPERATIONS INTL LTD,TSMC,3923.10,26218.85,20125.3,Shanghai,2026-02-16
APPLE OPERATIONS INTL INC,LG Chem,8703.80,30175.14,1319384.34,Shanghai,2025-03-22
Apple Inc. ,TSMC,3923.10,23190.71,1960525.23,Los Angeles,2025-08-03
APPLE OPERATIONS INTL INC,Vietnam Manuf Group,8517.12,37978.54,582019.52,Shanghai,2025-12-30
Tesla Motors INC,LG Chem,8517.12,26280.12,485048.49,Ho Chi Minh,2026-03-10
Apple Inc. CORP,TSMC,8703.80,2865.02,588509.92,Los Angeles,2025-12-15
Apple Inc. ,BYD Auto,6404.11,32137.33,1079612.0,Shanghai,2025-05-31
APPLE OPERATIONS INTL ,Foxconn Technology,8703.80,10925.74,189301.59,Shanghai,2025-09-11
Nike Inc. CORP,Vietnam Manuf Group,8517.12,41226.26,1893969.09,Los Angeles,2026-01-13
Tesla Motors ,Vietnam Manuf Group,6404.11,6481.59,407519.54,Los Angeles,2026-03-10
Yeti Coolers LLC ,Pou Chen Corp,8517.12,9286.22,1724891.09,Shenzhen,2025-10-25
Samsung Electronics CORP,Vietnam Manuf Group,8542.31,49681.0,1181214.62,Ho Chi Minh,2025-10-31
Yeti Coolers LLC LTD,TSMC,8703.80,47027.35,1972654.43,Long Beach,2025-09-15
Apple Inc. ,Shenzhen Plastics Co,6404.11,20080.18,356879.33,Shanghai,2025-08-12
YETI CUSTOM DOMESTIC ,TSMC,6404.11,24180.65,1019698.85,Los Angeles,2025-09-20
Yeti Coolers LLC CORP,LG Chem,8703.80,42986.55,508652.43,Rotterdam,2025-09-03
Yeti Coolers LLC LTD,TSMC,8703.80,18590.23,899195.09,Shenzhen,2026-02-03
NIKE USA CORP,TSMC,8517.12,15843.31,62936.78,Shenzhen,2026-01-05
YETI CUSTOM DOMESTIC ,Foxconn Technology,6404.11,36178.39,1126686.95,Ho Chi Minh,2026-02-28
Nike Inc. CORP,Pou Chen Corp,8517.12,46434.69,760912.04,Shenzhen,2025-12-14
NIKE USA ,Vietnam Manuf Group,8703.80,11566.24,1476677.34,Shenzhen,2025-10-13
YETI CUSTOM DOMESTIC LTD,TSMC,8542.31,28169.85,1079347.93,Ho Chi Minh,2025-07-08
APPLE OPERATIONS INTL ,LG Chem,8517.12,26653.01,1173236.2,Shenzhen,2025-07-22
Nike Inc. INC,TSMC,3923.10,38732.03,1689804.7,Shenzhen,2025-10-25
Tesla Motors CORP,Foxconn Technology,8703.80,34251.88,1752632.75,Ho Chi Minh,2025-04-16
Yeti Coolers LLC ,Foxconn Technology,8703.80,26228.31,1211195.48,Rotterdam,2025-11-13
YETI CUSTOM DOMESTIC LTD,Foxconn Technology,8703.80,5299.29,1646268.73,Long Beach,2025-09-15
Apple Inc. ,Shenzhen Plastics Co,8542.31,26207.19,370608.63,Ho Chi Minh,2025-07-18
Nike Inc. CORP,BYD Auto,8542.31,48828.69,1875285.65,Shenzhen,2025-10-08
APPLE OPERATIONS INTL LTD,LG Chem,8517.12,36123.8,512146.47,Ho Chi Minh,2025-05-12
Apple Inc. ,Vietnam Manuf Group,3923.10,19165.16,94208.29,Rotterdam,2025-09-13
APPLE OPERATIONS INTL INC,Pou Chen Corp,6404.11,13502.85,1405703.84,Shanghai,2025-07-02
Samsung Electronics ,Foxconn Technology,8542.31,24387.67,1949315.94,Long Beach,2025-05-12
Apple Inc. ,Foxconn Technology,8542.31,31943.03,441586.95,Ho Chi Minh,2025-12-06
NIKE USA CORP,Foxconn Technology,6404.11,25677.83,1060331.68,Los Angeles,2026-01-10
Yeti Coolers LLC INC,TSMC,3923.10,9469.22,147431.55,Rotterdam,2025-04-04
Nike Inc. ,TSMC,8703.80,34600.73,233442.05,Los Angeles,2026-02-15
Nike Inc. CORP,LG Chem,8517.12,3744.77,1775413.41,Los Angeles,2025-06-02
YETI CUSTOM DOMESTIC CORP,Pou Chen Corp,6404.11,42853.07,64885.59,Los Angeles,2025-10-16
YETI CUSTOM DOMESTIC ,TSMC,8703.80,40661.68,814066.36,Los Angeles,2026-03-12
Tesla Motors LTD,Vietnam Manuf Group,8542.31,47975.86,689898.85,Long Beach,2025-08-19
Tesla Motors ,LG Chem,8703.80,47185.99,1870263.82,Los Angeles,2025-12-08
Nike Inc. ,TSMC,8703.80,15667.65,460567.19,Rotterdam,2025-05-02
NIKE USA CORP,Foxconn Technology,3923.10,46321.5,290977.89,Ho Chi Minh,2025-08-10
Samsung Electronics ,TSMC,6404.11,11217.43,1374615.23,Los Angeles,2025-08-15
Nike Inc. CORP,LG Chem,8517.12,48673.47,492407.58,Los Angeles,2026-01-17
Tesla Motors ,TSMC,8517.12,16829.25,90003.56,Shenzhen,2025-12-01
APPLE OPERATIONS INTL INC,LG Chem,3923.10,1073.24,1475409.8,Shanghai,2025-08-28
Yeti Coolers LLC CORP,BYD Auto,6404.11,46718.56,562501.5,Shenzhen,2025-10-12
